id,amount,type
38,40,OUT
355,3,OUT
369,38,OUT
281,23,IN
370,22,OUT
365,20,OUT
70,29,IN
98,22,OUT
378,17,IN
211,10,IN
35,25,IN
340,34,IN
204,12,IN
129,27,IN
387,22,OUT
38,23,IN
345,19,OUT
122,5,OUT
94,13,OUT
32,2,OUT
141,17,OUT
229,36,OUT
122,32,OUT
67,28,IN
53,28,IN
350,5,OUT
294,26,IN
87,26,OUT
123,12,IN
94,33,OUT
58,36,OUT
176,38,OUT
297,23,IN
33,36,IN
66,28,OUT
277,12,IN
103,32,IN
207,18,IN
92,4,IN
21,32,OUT
82,9,IN
44,23,IN
75,32,OUT
56,25,IN
68,12,OUT
324,15,OUT
229,22,OUT
75,10,OUT
169,21,OUT
270,32,OUT
317,13,IN
182,24,IN
397,36,IN
308,6,OUT
229,15,OUT
217,13,IN
265,40,OUT
93,18,IN
63,11,OUT
332,12,OUT
198,1,IN
86,30,OUT
240,37,OUT
227,28,IN
348,29,IN
67,13,OUT
327,15,OUT
335,2,IN
172,21,IN
257,1,OUT
267,9,IN
371,20,OUT
385,9,IN
172,23,OUT
267,27,IN
182,11,OUT
382,5,IN
261,32,IN
80,26,OUT
366,36,IN
119,7,OUT
158,16,IN
121,20,OUT
354,23,OUT
88,29,OUT
298,1,OUT
30,27,IN
52,32,OUT
374,23,OUT
252,33,IN
403,20,IN
124,35,IN
78,14,IN
189,32,OUT
64,32,IN
28,21,IN
392,4,OUT
383,25,IN
254,37,IN
223,35,OUT
127,20,IN
161,30,OUT
20,36,OUT
293,11,IN
170,16,IN
364,33,IN
263,32,OUT
68,27,IN
255,6,IN
71,29,IN
11,7,IN
210,25,IN
122,29,OUT
329,36,OUT
400,1,OUT
329,0,OUT
389,26,IN
137,5,OUT
29,39,OUT
345,15,OUT
108,29,IN
223,18,OUT
173,18,IN
130,14,IN
195,16,IN
135,5,IN
148,37,OUT
22,1,IN
69,17,OUT
91,33,OUT
30,24,IN
198,19,OUT
52,6,IN
154,2,OUT
160,11,OUT
100,38,OUT
38,8,IN
298,12,IN
321,22,OUT
84,12,IN
124,31,IN
268,35,IN
310,40,OUT
360,0,OUT
10,9,OUT
299,31,OUT
126,27,OUT
146,4,IN
234,33,IN
14,4,OUT
392,14,OUT
20,35,IN
289,17,IN
87,17,IN
22,22,OUT
80,6,OUT
265,35,OUT
113,10,IN
14,14,OUT
396,24,IN
336,32,IN
234,32,OUT
379,32,OUT
353,30,IN
323,32,OUT
254,19,OUT
407,9,OUT
51,32,OUT
362,11,IN
57,2,OUT
280,25,IN
91,33,IN
58,19,OUT
53,2,IN
396,10,OUT
150,40,OUT
24,19,OUT
108,23,IN
218,6,IN
106,10,IN
381,37,IN
16,32,OUT
20,12,OUT
142,33,OUT
354,24,OUT
393,4,IN
26,17,OUT
272,28,OUT
126,7,OUT
152,12,OUT
402,11,OUT
92,27,OUT
174,20,OUT
204,18,IN
232,14,OUT
242,20,OUT
163,22,OUT
396,36,OUT
409,26,IN
78,19,IN
346,15,OUT
313,13,OUT
173,38,OUT
224,22,OUT
244,24,OUT
300,6,IN
121,26,OUT
203,14,OUT
337,30,OUT
253,6,OUT
240,24,IN
128,24,IN
111,12,IN
216,12,OUT
322,37,IN
238,27,OUT
157,18,IN
262,22,IN
185,29,OUT
241,36,OUT
217,24,IN
81,10,IN
362,0,IN
340,12,IN
301,5,OUT
212,21,IN
405,29,IN
278,27,OUT
195,25,IN
317,12,OUT
152,25,OUT
231,34,IN
61,40,OUT
215,4,OUT
74,10,OUT
166,11,IN
209,23,IN
383,11,OUT
205,39,OUT
392,24,OUT
251,1,IN
210,10,IN
88,27,IN
175,33,OUT
376,8,OUT
123,21,IN
94,17,OUT
129,38,OUT
399,20,OUT
346,11,OUT
38,22,IN
25,27,IN
196,6,IN
291,6,OUT
308,12,OUT
78,38,IN
376,21,OUT
389,31,OUT
249,36,OUT
170,39,OUT
154,15,IN
118,35,OUT
65,26,OUT
158,6,IN
211,11,IN
44,33,OUT
15,27,IN
124,3,IN
70,12,OUT
136,31,IN
135,8,OUT
249,8,OUT
395,6,IN
242,28,OUT
235,15,OUT
44,30,IN
84,12,IN
46,33,IN
307,38,IN
100,5,OUT
399,6,IN
26,37,IN
40,16,IN
55,21,OUT
189,21,IN
385,0,IN
188,15,OUT
138,2,IN
366,23,OUT
242,11,IN
244,2,IN
249,38,OUT
198,39,OUT
10,37,OUT
368,28,IN
138,0,IN
228,11,IN
350,22,IN
173,7,IN
364,36,IN
329,13,OUT
306,1,OUT
175,18,OUT
273,9,OUT
208,39,IN
12,10,IN
107,21,OUT
103,10,IN
199,30,OUT
194,13,IN
285,31,IN
215,17,IN
139,28,OUT
109,22,OUT
407,28,OUT
251,33,IN
234,2,IN
64,7,IN
36,18,OUT
100,7,IN
110,7,IN
261,21,OUT
98,17,IN
95,30,IN
176,18,IN
10,32,IN
65,5,OUT
178,29,OUT
119,34,IN
65,18,OUT
274,35,OUT
401,13,OUT
196,38,IN
63,1,IN
151,32,IN
200,36,IN
374,10,IN
312,6,OUT
258,38,IN
207,15,OUT
386,10,OUT
198,20,OUT
242,15,OUT
215,26,IN
107,1,OUT
296,39,IN
89,19,IN
196,18,IN
298,36,IN
40,0,OUT
295,35,IN
306,8,IN
227,31,OUT
172,8,OUT
363,15,OUT
252,38,IN
226,31,IN
46,21,IN
33,18,OUT
267,28,OUT
36,27,OUT
278,37,OUT
314,36,IN
365,22,IN
243,21,OUT
125,10,IN
260,8,OUT
375,19,IN
212,37,IN
154,11,OUT
10,34,IN
241,9,OUT
290,37,IN
277,32,OUT
310,23,IN
64,15,IN
183,7,OUT
55,20,IN
231,21,OUT
349,28,IN
344,37,IN
266,18,IN
249,1,OUT
315,38,OUT
33,20,IN
351,26,OUT
46,33,OUT
222,9,OUT
30,0,IN
286,21,OUT
204,23,IN
306,0,IN
282,23,IN
42,40,IN
241,31,IN
325,13,IN
194,1,IN
69,13,OUT
48,4,OUT
229,33,IN
166,0,OUT
156,27,IN
79,36,IN
110,9,IN
102,33,IN
122,24,IN
166,20,IN
141,39,OUT
374,2,IN
165,31,OUT
162,20,OUT
271,9,IN
327,0,OUT
70,10,OUT
254,3,IN
214,9,IN
211,19,OUT
349,20,IN
229,35,IN
356,34,OUT
166,8,OUT
65,13,IN
224,21,IN
238,32,OUT
123,24,IN
13,13,OUT
292,6,OUT
270,17,OUT
100,25,IN
254,36,OUT
157,2,IN
184,23,OUT
118,5,OUT
63,33,IN
23,16,IN
150,0,OUT
71,32,OUT
321,40,IN
114,9,IN
107,15,OUT
37,10,OUT
130,20,OUT
244,17,IN
225,13,IN
189,2,IN
357,17,IN
295,27,OUT
207,20,OUT
240,18,OUT
95,0,IN
123,38,IN
94,6,IN
186,8,IN
11,30,OUT
257,26,OUT
372,39,OUT
325,6,OUT
291,24,OUT
55,9,IN
229,16,IN
207,31,OUT
278,34,IN
338,19,IN
141,15,IN
333,32,IN
295,9,IN
141,39,OUT
135,30,OUT
24,20,OUT
368,28,IN
207,13,OUT
375,37,IN
110,27,OUT
16,13,OUT
193,35,OUT
217,36,OUT
25,22,IN
283,12,IN
87,38,OUT
236,34,OUT
246,26,IN
217,15,IN
141,15,OUT
17,37,IN
209,20,IN
51,18,IN
405,9,IN
297,19,IN
322,2,IN
100,34,OUT
151,24,IN
306,31,IN
138,8,IN
189,30,OUT
136,22,OUT
324,22,IN
142,37,OUT
222,29,IN
57,14,IN
195,6,OUT
21,34,IN
184,2,IN
165,7,OUT
234,33,OUT
51,40,OUT
383,2,IN
369,17,OUT
394,13,OUT
369,25,IN
217,3,IN
